name,averageRevenue,medianRevenue,totalRevenue,publishedGames
OlderBytes,26238.5,26238.5,52477,2
Cognoggin Games,52513,52513,52513,1
Foreignvr,52416,52416,52416,1
Basecamp Games,52395,52395,52395,1
Insignis Games,42068.5,42068.5,84137,2
Moondrop,52561,52561,52561,1
Pansolo,52346,52346,52346,1
妖妖灵制作组,52572,52572,52572,1
Trend Redaktions- und Verlagsgesellschaft mbH,29124,30041,116496,4
TurtleFox Games,52757,52757,52757,1
AGaming+,20106,11499,100530,5
ChaoGames,53404,53404,53404,1
8888888 LABS,51932,51932,51932,1
Kitten Cup Studio,52763,52763,52763,1
Papaonn,52020,52020,52020,1
Jumpdrive Studios,52137,52137,52137,1
Maxi Molina (MaxiMJdev),52089,52089,52089,1
FarSight Studios,81915.70265813467,52176,573409.9186069428,7
Lionbite Games,52548,52548,52548,1
Stellar Sage Games,52104,52104,52104,1
electrolyte,70907,70907,141814,2
NoBreadStudio,26617.666666666668,14884,79853,3
Brenton Wildes,52268,52268,52268,1
FIVE-BN GAMES,20409.284612314208,11596,632687.8229817405,31
Three Bees,51954,51954,51954,1
"Bat Country Games, LLC",34548,34548,69096,2
Sweet Cakes Games,26696.5,26696.5,53393,2
13AM Games,28573,28573,57146,2
Detalion Games S.A.,27132.5,27132.5,54265,2
Tobias Cornwall,27666,27666,55332,2
赤瞳大白猫,109086.5,109086.5,218173,2
VirusSea,247860.5,247860.5,495721,2
Procedural Level,51905,51905,51905,1
Jonathan BRASSAUD,51745,51745,51745,1
Colorfiction,18340,2813,55020,3
S-Game,51712,51712,51712,1
Sensiga,51663,51663,51663,1
Round Cube Studio,51274,51274,51274,1
Ada Rook,51554,51554,51554,1
ActaLogic,51520,51520,51520,1
LarkyLabs,51513,51513,51513,1
Tom Johnson,51500,51500,51500,1
ClockWorkWolf,37239,37239,74478,2
Chicken Waffle,48134,51532,144402,3
Ignis Sanat,30921,30921,61842,2
Catbird Soft,51476,51476,51476,1
MSOFT,51491,51491,51491,1
Raptor Claw Games,44341.57142857143,48028,310391,7
Millendream,44341.57142857143,48028,310391,7
IMaiIna,34599,34599,69198,2
Picselica Ltd,51397,51397,51397,1
Camden Cleveland,51393,51393,51393,1
Pixel Cattle Games,63247.333333333336,51383,189742,3
Edenic Era LLC,25701.5,25701.5,51403,2
Pocket Money Games,19488.333333333332,4985,58465,3
Purple猫 Studio,51339,51339,51339,1
KBJGames,51394,51394,51394,1
anotherworld GmbH,56165.5,56165.5,112331,2
Moonpod,54785.5,54785.5,109571,2
Love Seekers,37557,37557,75114,2
Cave Monsters,51646,51646,51646,1
HTC,51298,51298,51298,1
Nico Tuason,50919,50919,50919,1
XSSPACE,50506,50506,50506,1
Aydy,26744,26744,53488,2
S.O.T.A Games,51166,51166,51166,1
emergeWorlds,30441.5,30441.5,60883,2
Calvin Weibel,51021,51021,51021,1
AG SOFT,51098,51098,51098,1
Glovebox Games LLC,50967,50967,50967,1
Califourways,50993,50993,50993,1
∇,34759.666666666664,50621,104279,3
Fireline Games,41832.5,41832.5,83665,2
Metavision Studio,58638,58638,58638,1
"COLOPL, Inc.",61992,56485,247968,4
Poleaxe Games LLC,58203,58203,58203,1
Critical Games,37501,49331,112503,3
WILD WITS,58159,58159,58159,1
StatusPRO Inc,109188.5,109188.5,218377,2
ManicBuild Studio,56796,56796,56796,1
The Impious Monk,58450,58450,58450,1
White Rabbit Interactive,58309,58309,58309,1
Eros Interactive Ltd,58290,58290,58290,1
Alternative Software Ltd,53649.11111111111,47169,965684,18
Redblack Spade,101278.33333333333,78811,303835,3
People Can Fly,57062,57062,57062,1
Discovering VR,58098,58098,58098,1
Nocturnal works,67142.5,67142.5,134285,2
perelesoq,58419,58419,58419,1
Studio Eris,58049,58049,58049,1
Annulus,39173.5,39173.5,78347,2
Pixel Canvas Inc,57992,57992,57992,1
Cypronia,99408.5,99408.5,198817,2
SimplePlan Studio,57986,57986,57986,1
Topstitch Games,57952,57952,57952,1
VIEWER READY,57963,57963,57963,1
ISY,31731.6,17162,158658,5
MediaTale,59361,59361,118722,2
AIKUN,25775.666666666668,18938,77327,3
SculptrVR,28895,28895,57790,2
TB Games,145155.7221535991,44743,870934.3329215947,6
EY-Studio,76090.66666666667,58652,228272,3
Digital Eel,17236.6,4,86183,5
Rocket Rat Games,57633,57633,57633,1
Cozy Bee Games,277530.2,154307,1387651,5
Hyper'sthene,60634,60634,121268,2
Jumping Ram,28833,28833,57666,2
Cheese Burger Studio,57706,57706,57706,1
Choc Abyss,58123,58123,58123,1
Dan,57600,57600,57600,1
Beauties! They're All After Me,56529,56529,56529,1
Awoker Games,27140,22084,81420,3
studiocime,57505,57505,57505,1
TreeNutsGames,28485.5,28485.5,56971,2
Xigma Games,53870,57500,161610,3
Genuine Studio,43549,43549,87098,2
Isekai Entertainment,57347,57347,57347,1
Slikey Games,42725.333333333336,57434,128176,3
higopage,57982,57982,57982,1
Zombie Survival Game Online LLC,57143,57143,57143,1
Sandspire Interactive,57340,57340,57340,1
Clouded Leopard Entertainment Inc.,104552.5,104552.5,209105,2
IBOLOGY LLC,25364.666666666668,8789,76094,3
Xixo Games Studio,56972,56972,56972,1
Peter Whalen,57079,57079,57079,1
Tricktale,57064,57064,57064,1
Focus Home Interactive,564393,477334,1693179,3
Fabrik Games Ltd,57069,57069,57069,1
Sam Kennedy,55095,55095,55095,1
GIANTY Inc.,56923,56923,56923,1
Black Diskette Studio,56876,56876,56876,1
Hamsters Gaming,138578.42857142858,91519,970049,7
Dr Robot,56796,56796,56796,1
Vip Tajik,56796,56796,56796,1
CHEMICAL HEADS STUDIOS,56753,56753,56753,1
McMagic Productions,302501.5,302501.5,605003,2
Grundislav Games,57050,57050,57050,1
AIROTS,56980,56980,56980,1
Together Games,56443,56443,56443,1
Formslingers,56602,56602,56602,1
YUNUO GAMES,56573,56573,56573,1
曲波,88353.5,88353.5,176707,2
Nihohe Soft,56773,56773,56773,1
Cheese Games,66073,66073,132146,2
M11 Studio,56493,56493,56493,1
DIMANCHE CORP.,56449,56449,56449,1
Slitherine LTD.,61515.5,61515.5,123031,2
Mountainwheel Games,56030,56030,56030,1
Dragonfire Entertainment,56321,56321,56321,1
Mad Dog Games,56210,56210,56210,1
Vanquisher Games,55715,55715,55715,1
VD-dev,56297,56297,56297,1
Quite Different Mechanics,56182,56182,56182,1
橘音,56526,56526,56526,1
Alina Digital,15958.75,3270,63835,4
Moonradish Inc.,55856,55856,55856,1
Gala Games,56037,56037,56037,1
基本操作PlayClass,68789.5,68789.5,137579,2
Game Ever Studio,56073,56073,56073,1
Ogre Pixel,35727.333333333336,46892,107182,3
Alexander Goodwin,66985,66985,133970,2
Loftur Studio,55903,55903,55903,1
Rabbithole Games,55907,55907,55907,1
Actoon Studio,31094,31094,62188,2
Dreamloop Games,55844,55844,55844,1
Red Six Publishing,28208.166666666668,19903,169249,6
Gugila,55822,55822,55822,1
Panzer Division Games,55967,55967,55967,1
Llamasoft LTD,51668.5,51668.5,103337,2
Wabisabi Games,55884,55884,55884,1
DYA Games,91055.2,106365,455276,5
Oscar Gonzalez,55578,55578,55578,1
Low-Hi Tech,38956.26006213468,38956.26006213468,77912.52012426936,2
Unleash The Giraffe,55738,55738,55738,1
Gameclaw Studio,62056,55738,186168,3
"Chance6 Studios, LLC",55656,55656,55656,1
Hammer & Ravens,20915.333333333332,4353,62746,3
Animvs Game Studio,55652,55652,55652,1
Stolen Couch Games,76336.66666666667,55578,229010,3
Cosmo D Studios,27723.5,27723.5,55447,2
Nether Productions LLC,55558,55558,55558,1
Amanito Computing,53711,53711,53711,1
Trinitite Team,55680,55680,55680,1
VR Storm Studio,55398,55398,55398,1
Pixbits,208899.5,208899.5,417799,2
Sam Cohle,57616,57616,57616,1
Cotton Candy Cyanide,55366,55366,55366,1
[2.21],40760,55452,122280,3
Rapscallion,55553,55553,55553,1
GOLDEN AGE,55425,55425,55425,1
The Typist,54896,54896,54896,1
Celestial Novel,54673,54673,54673,1
First Contact Entertainment,55187,55187,55187,1
InvertMouse,28258,19303.5,282580,10
有杕之杜,28298,28298,56596,2
VIZ Media,55082,55082,55082,1
Arcane Miracle Entertainment,55142,55142,55142,1
Bill and Eli Productions,55052,55052,55052,1
Tower Studios,55609,55609,55609,1
Naps Team,36668.25,31576.5,146673,4
PlayEveryWare,54965,54965,54965,1
奇正游戏,54945,54945,54945,1
史图馆,54945,54945,54945,1
Zordix AB,69244.5,69244.5,138489,2
清之鸣,54931,54931,54931,1
筠悦游戏,55121,55121,55121,1
Soda Game Studio,55556,55556,55556,1
Peregrin Developers,54840,54840,54840,1
Umix Studios,129781,161373,389343,3
PTGames,58555.5,58555.5,117111,2
Dirty Adventures 🖤,32780.5,32677.5,131122,4
Intr Studio Pty Ltd,30474.5,30474.5,60949,2
Kaser Studio,19314,3194,57942,3
rologfos,41037.5,41037.5,82075,2
Madmind Studio,27024.4,6799,135122,5
Elasto Mania Team,19630.666666666668,2803,58892,3
Inturo Games Inc.,54710,54710,54710,1
Tale of Tales,102817.57142857143,33739,719723,7
MaDDoG,55125,55125,55125,1
Bigben Interactive,54884,54884,54884,1
vertex4 entertainment GmbH,54416,54416,54416,1
StormCube Games,89498.66666666667,86350,268496,3
"GQJoy Co.,Ltd",54393,54393,54393,1
Bongfish GmbH,54303,54303,54303,1
Chengdu longyuan Network Technology Co.Ltd,72686.28077221039,72686.28077221039,145372.56154442078,2
KiwiGame,56487,54214,169461,3
Picklefeet Games,54176,54176,54176,1
Bad Blood Studios,27084.5,27084.5,54169,2
SimWare Simulations,54161,54161,54161,1
CyberCoconut,27078,27078,54156,2
White Manager srl,54156,54156,54156,1
Weixi Studio,54107,54107,54107,1
Raptorsoft Games,51010,51010,102020,2
Nemoria Entertainment,54032,54032,54032,1
Iron VR,21328.666666666668,8207,63986,3
Rabbit Games,76060,76060,152120,2
Anima Publishing,205910,205910,411820,2
Woziva,53752,53752,53752,1
Wizard Mode,53934,53934,53934,1
NewProject,53953,53953,53953,1
Job Talle,53863,53863,53863,1
RL Agency,53884,53884,53884,1
Great Boolean,27522,27522,55044,2
Fusion Media Group,53844,53844,53844,1
Applimazing,84163.5,84163.5,168327,2
Greedy Wolf Studio,53778,53778,53778,1
011 Games,110566,110566,221132,2
Very Simple Idea Studios,53755,53755,53755,1
TWODOG,53634,53634,53634,1
Noki-Studio,69311.5,69311.5,138623,2
Zhongce Games,44168.333333333336,47389,132505,3
EastFog Studios,31848.666666666668,46855,95546,3
FromSouthGames,47356,47356,47356,1
Poring,47358,47358,47358,1
Pillow Fight,169117.6,74801,845588,5
Agger Interactive,18499,10749,73996,4
Tree Branch Games,47338,47338,47338,1
Electrify Spa,47328,47328,47328,1
Piranaking,47327,47327,47327,1
YFC games,11831.5,0,47326,4
RAJACORP,52249,52249,52249,1
Poking Water Games,47816,26207,191264,4
Pwnee Studios,47300,47300,47300,1
LLP Clerik Studio,24643,24643,49286,2
Wooden Monkeys,47269,47269,47269,1
Cskin Games,47308,47308,47308,1
Azure Mountain,47734,47734,47734,1
Kurki.games,82705.1,13274.5,827051,10
MyDearest,47122,47122,47122,1
bad_vertex,47554,47554,47554,1
BadBit Games,47102,47102,47102,1
Preapp Partners,46995,46995,46995,1
Vittorio Romeo,47091,47091,47091,1
Miradil,23179.5,23179.5,46359,2
The Working Parts,25055,25055,50110,2
AtomicHorde,84805,84805,169610,2
Koch Media,30018,30018,60036,2
puzzled_squid,47242,47242,47242,1
Anton Riot,47000,47000,47000,1
Loopnova Studio,47214,47214,47214,1
Lesson of Passion,25423.666666666668,15412,381355,15
KADOKAWA Game Linkage,46866,46866,46866,1
ABC ANIMATION,46866,46866,46866,1
Nyou,46941,46941,46941,1
Crian Soft,74734,46723,224202,3
Nexeon Studios,46666,46666,46666,1
Just Sauce Studio,9927.166666666666,2350.5,59563,6
Weaveractive,46559,46559,46559,1
"Impulse Game Studios, LLC.",28579.333333333332,36253,85738,3
Team Tetrapod,360794,360794,721588,2
Nilo Studios,26845.5,26845.5,53691,2
Turbo Button,28224,21755,84672,3
Deafperv,80395,80395,160790,2
Golden Wave Games,46307,46307,46307,1
Artem Vodoriz,46400,46400,46400,1
DDreams Games,22896.2,10288,114481,5
Seal,17559.25,11894.5,70237,4
WhiteCute,14195.25,5224.5,56781,4
AlphaNuts,15197.8,9272,75989,5
Veelhoek Studios,26452,26452,52904,2
次元边界,49531,49531,49531,1
Terror Dog Studio,46082.25,30153.5,184329,4
Mad Mushroom,34660,34660,69320,2
Lightning Rock,46194,46194,46194,1
Final Scene dev,46197,46197,46197,1
Sign Narva,46090,46090,46090,1
Lepioid LLC,45066,45066,45066,1
Two Bits Kid,46109,46109,46109,1
Experiment 7,46075,46075,46075,1
Sungazer Software LLC,27311,27311,54622,2
Manic Hyena,23044.4,20199,115222,5
ChessBase GmbH,46697.4,17429,233487,5
Team SNEED,34397.82925279388,4625,171989.14626396942,5
赤いトンボ,257196.5,257196.5,514393,2
Growing Seeds,23463,23463,46926,2
Just a Game,45895,45895,45895,1
Ureasoft,71252.5,71252.5,142505,2
Kirisame Jump,24966.5,24966.5,49933,2
Phaser Lock Interactive,228423.75,205838,913695,4
Unbalanced Equations,45882,45882,45882,1
Travellin Cats,23089.105935002714,17374.5,230891.05935002715,10
HappyHead Games,45847,45847,45847,1
Autarca,45513,45793,136539,3
LSJ Productions,23977.5,23977.5,47955,2
Slava Bushuev,35833,35833,71666,2
Streamline Media Group,45681,45681,45681,1
Organic Humans,45676,45676,45676,1
Milky Tea Studios,104418,104418,208836,2
Krealit,86566.33333333333,59507,259699,3
Vittorio Banfi,45485,45485,45485,1
IndieGala,75092.64613850304,7188,826019.1075235334,11
BigTapir Games,45464,45464,45464,1
Active Games,62707,62707,62707,1
TGA Company LLC,45461,45461,45461,1
Diabolical Mind,47421.333333333336,45759,142264,3
DrashVR LLC,45390,45390,45390,1
Perfect Day Studio,354206.5,354206.5,708413,2
12B3,45413,45413,45413,1
Numskull Games,49603.8,45319,248019,5
TKG Inc.,45594,45594,45594,1
EvilCoGames,60562.5,60562.5,121125,2
Happy Polygon,45321,45321,45321,1
Starship Studio,27981.41176470588,4524,475684,17
BEEP,45251,45251,45251,1
Holmgard Games,45236,45236,45236,1
Abrams Studios,30515,30515,61030,2
Digital Furnace Games,45259,45259,45259,1
CarloC,14804.2,4241,74021,5
Mind Leak,69273.5,69273.5,138547,2
Lupus Studios Limited,54509.25,23254,218037,4
Pierre Vigier,45969,45969,45969,1
MadRock,45053,45053,45053,1
Torture Star Video,77158.57142857143,45341,540110,7
Keys to My Lockheart,22544.5,22544.5,45089,2
GamesCo,81519.5,81519.5,163039,2
ARES Inc.,12649,5117,63245,5
STICLI Games,44965,44965,44965,1
Studio Eres,42734,42734,42734,1
Gnioto VR,44964,44964,44964,1
onomatope*,23816,23816,47632,2
MiKandi Japan,23816,23816,47632,2
Ota Mato,46296,46296,46296,1
Belgerum,23523.75,21637.5,94095,4
Secret Base,45384,44885,136152,3
RB Wolf Games,44961,44961,44961,1
AGHAMUS,30870,30870,61740,2
IGNOST,51029,51029,51029,1
Cygnus Entertainment,27009.5,27009.5,54019,2
"WXP Games, LLC",50819,50819,50819,1
UnholY CreatioN,55960.75,32335,223843,4
GAMER Plan,29205,25798,87615,3
BlueLine Games,26426.2,11771,132131,5
Daniel Davies,50971,50971,50971,1
Maulidan Games,17119,8118.5,68476,4
MeDungeon Ltd.,26511,26511,26511,1
Xefier Games Inc.,20730,16655,103650,5
Leoful,23764.75,20831.5,95059,4
C Prompt Games,50510,50510,50510,1
Spiritus Games,25292,25292,50584,2
White Phantom Games,50483,50483,50483,1
Stormseeker Games,50339,50339,50339,1
Viva Meda,50388,50388,50388,1
FAKKU,88150.625,10646.5,705205,8
Cosmo D Studios LLC,50481,50481,50481,1
Silver Spook Games,50285,50285,50285,1
Team8 Studio,50540,50540,50540,1
Gosatsu Visual Novels,26894,26894,53788,2
Triangle Studios,55413.333333333336,50933,166240,3
Jolifess Inc.,50334,50334,50334,1
Fulinkazan Co.,50334,50334,50334,1
Sebasa Games,21965.666666666668,11102,65897,3
MG Publishing,19499,13300,97495,5
Lightimpact,25126.5,25126.5,50253,2
Swingers Club,47947,47947,47947,1
Alexander Mirdzveli,50220,50220,50220,1
ambai,50070,50070,50070,1
La Moustache Studio,50170,50170,50170,1
Mad Otter Games,116923.13455996363,116923.13455996363,233846.26911992725,2
Johannes Gäbler,51918,51918,51918,1
Jollypunch Games,15848.75,6682.5,63395,4
BADA Games,35146,35146,35146,1
Pouchmouse,50019,50019,50019,1
by Mike Robins,50793,50793,50793,1
Inverge Studios,49961,49961,49961,1
RP Game Design Pty Ltd,50093,50093,50093,1
救赎,49893,49893,49893,1
Scarecrow Studio,51728,51728,51728,1
Cobra Mobile,22738.428571428572,21928,159169,7
Cloudfire Studios,49850,49850,49850,1
Rarebyte,204233.33333333334,49858,612700,3
Falcon Interactive,49775,49775,49775,1
NGDEV,49675,49675,49675,1
Batholith Entertainment,25688.333333333332,15860,77065,3
Journey Bound Games,49765,49765,49765,1
kingnagame,49837,49837,49837,1
Blackjard Softworks,49683,49683,49683,1
Acram Digital,70370.625,48626.5,562965,8
Encore Inc.,46625,49763,139875,3
ASBO Interactive Ltd,48283,48283,48283,1
Moonlight Mouse,49622,49622,49622,1
nodayshalleraseyou,49658,49658,49658,1
dopagames,49516,49516,49516,1
The Poundry,46062.333333333336,49453,138187,3
Circle Jerk(s),42547.5,40728,170190,4
Eric Sun,49383,49383,49383,1
8D Studio,49535,49535,49535,1
David Wehle,378963.5,378963.5,757927,2
Bambastic Games,49344,49344,49344,1
Dare Looks,17483,3269,52449,3
桑尼游戏(Sunny Game),35835,35835,71670,2
TriHelix LLC,49281,49281,49281,1
Lunar Chili,15363.666666666666,5,46091,3
AncientSky Games,24604.5,24604.5,49209,2
Candescent Games,49145,49145,49145,1
Dragom,10369.8,16,51849,5
Owl Cave,71887.5,71887.5,143775,2
Raba Games,49086,49086,49086,1
LightOn Game,42541.333333333336,49038,127624,3
Gregory Nikolaidis,48627,48627,48627,1
Tuttifrutti Interactive,28916,28916,57832,2
Oldbut Gold,48810,48810,48810,1
UI-Games,49081,49081,49081,1
Curious Planet,33254,33254,66508,2
Happy Pillow,48614,48614,48614,1
Rocket Jump,48994,48994,48994,1
Titanforged Entertainment,48801,48801,48801,1
Gattai Games,171610.33333333334,104556,514831,3
Domas Sabockis,48749,48749,48749,1
Hazardous Software Inc.,48684,48684,48684,1
Dawnatic Games,48743,48743,48743,1
Hanabi Games,14246.166666666666,10623.5,170954,12
V19games,49003,49003,49003,1
Another Indie,36323.166666666664,29833,217939,6
Xenoaisam Studio,24148.00157074948,13394,72444.00471224844,3
Zaxis Games,48559,48559,48559,1
TOKYOTOON,82554.5,82554.5,165109,2
Deniz K.,48553,48553,48553,1
Footprints Games,48594,48594,48594,1
章鱼罐头制作组,56069.333333333336,48527,168208,3
JNT Games,15292,0,45876,3
Cybertron Design Studios,48509,48509,48509,1
Paperash Studio,48500,48500,48500,1
Ateliér Duchů,14636.75,5023.5,58547,4
2tainment GmbH,110154.5,35846.5,660927,6
K Publishing,48476,48476,48476,1
"Stalwart Games, LLC",48474,48474,48474,1
Relative Software LTD.,48328,48328,48328,1
Bryce Bucher,27407,27407,54814,2
"Parody Games, LLC",48297,48297,48297,1
Zoink Games,35071,45512,105213,3
Heroic Fantasy Games Dot Com,64733,64733,129466,2
MYSTERY CROWN,39728,39728,79456,2
New Dawn Games,48271,48271,48271,1
NINEHECTARE,48424,48424,48424,1
よんとんトマチン,48252,48252,48252,1
Paper House,25008.5,25008.5,50017,2
THE TINY DIGITAL FACTORY,47640,47640,47640,1
ViJuDa,112304,112304,224608,2
Nordic Empire Games,47655,47655,47655,1
Eyebrow Interactive,82181.5,82181.5,164363,2
SP-time,85049.33333333333,48022,255148,3
Blueplanet VR,48019,48019,48019,1
Spinoff Games,42064,42064,84128,2
KeleSoft avoin yhtiö,48015,48015,48015,1
Exertion Studio,47899,47899,47899,1
Double Eleven,58230.6,47986,291153,5
Stitch Heads Entertainment,47986,47986,47986,1
Brady Soglin,36554,36554,36554,1
Turtle Cream,24151.666666666668,22941,72455,3
FreeMind S.A.,126358.03571428571,2203,3538025,28
Koksny.com,23885,23885,47770,2
1001 Studio,47955,47955,47955,1
AdamDubiGames,47941,47941,47941,1
PlatSTUDIO,14531.75,4088.5,58127,4
MarineVerse,16905,2868,50715,3
HIKARI PULSE,64334.333333333336,41589,193003,3
Irodori Games,47900,47900,47900,1
Roboto Games,47816,47816,47816,1
Sting,96020.5,96020.5,192041,2
Steckenpferd Enterprises,47750,47750,47750,1
Roman Uhlig,47619,47619,47619,1
Nitro Games,46084,47768,138252,3
Domuro Soft,47737,47737,47737,1
Little Beavers Games,44221.5,44221.5,88443,2
RISING GAME,47715,47715,47715,1
Patria Games®,46638,46638,46638,1
Qwiboo Ltd,47715,47715,47715,1
Baby Stone Studios,47500,47500,47500,1
Steel Games,48152,48152,48152,1
zebracan studio,49625,49625,49625,1
Omnigames,47462,47462,47462,1
Keycap Games LLC,47503,47503,47503,1
Barrel Smash Studios,47532,47532,47532,1
Hamsters,47446,47446,47446,1
Aesthetic Interactive,47438,47438,47438,1
Pixel Perfect Dude,25137.5,25137.5,50275,2
GridSky Software,17289.333333333332,3184,51868,3
Pb Studios,37090,37090,37090,1
Aurora Punks,114191.2,13416,570956,5
Aegon Games Ltd,14293.25,8950.5,57173,4
BN Games,57007,27619,171021,3
MedusasGame,38675.333333333336,36892,116026,3
西梅树工作室,37037,37037,37037,1
17-BIT,185026,135518,555078,3
Tilting Point,1726397.2981393833,703965.7366322819,6905589.192557533,4
Red Square Games,36989,36989,36989,1
Postmodern Adventures,35223.5,35223.5,70447,2
enComplot,36153,36153,36153,1
Oneirolith,36844,36844,36844,1
Oisoi Studio,36849,36849,36849,1
Tacty Studio,12260.666666666666,0,36782,3
Gumdrop Games,36791,36791,36791,1
BlackMoon Design,22651,22651,45302,2
Lingtan Studio,22840.571428571428,15201,159884,7
My64K,36745,36745,36745,1
Forcequitapplicatons,36686,36686,36686,1
Impossible,36746,36746,36746,1
Grindstone,41108.25,30951,164433,4
G5game,36641,36641,36641,1
3DPet,105461,105461,210922,2
M36 Games,36332,36332,36332,1
Digital Dragon,42802.666666666664,36577,128408,3
YeaBoing,19363.5,19363.5,38727,2
Atypical Games,63260.666666666664,64465,189782,3
zstar,36533,36533,36533,1
Subliminal,36493,36493,36493,1
Martov Company,36528,36528,36528,1
InfinityNan Studios,36750,36750,36750,1
咕咕工作室,65135.5,65135.5,130271,2
Bartosz Bojarowski,22144,17813,66432,3
Die Gute Fabrik,18586.333333333332,19077,55759,3
致意,29698.5,22197,237588,8
Double Fine Presents,50973.5,50973.5,101947,2
Screambox Studio,68054.66666666667,83012,204164,3
Cranktrain,36411,36411,36411,1
Sven Ahlgrimm,36966,36966,36966,1
Goosix Games,19290.5,19290.5,38581,2
老乌贼工作室,36081,36081,36081,1
Molton Studio,36395,36395,36395,1
tulevik.EU,36497,36497,36497,1
旅人计划,18099.5,18099.5,36199,2
Orsam Information Technologies,36305,36305,36305,1
GMO Free Games,36253,36253,36253,1
Cinnamon Switch LLC,36413,36413,36413,1
Hexage,64171.2,36251,320856,5
Studio Attic Salt,36239,36239,36239,1
地霊研究院,18497.4300474989,18497.4300474989,36994.8600949978,2
ZRIGN,18497.4300474989,18497.4300474989,36994.8600949978,2
ImaginationOverflow,24997.333333333332,36193,74992,3
Delta Shore Games,36112,36112,36112,1
Ata Türkoğlu,36017,36017,36017,1
Canberk Demir,36017,36017,36017,1
Uki Uki Lab,28484.5,28484.5,56969,2
Rotten Raccoons,37922,37922,37922,1
Fuzz Force,24916.5,24916.5,49833,2
Denis Galanin (mif2000),35976,35976,35976,1
"Mythric Studios, LLC",35958,35958,35958,1
Awaceb,35948,35948,35948,1
Freedomize Studio,18016,16627,54048,3
Neojac Entertainment Inc.,31551,31551,63102,2
Path Games,35886,35886,35886,1
landfall,17937.5,17937.5,35875,2
The Dairymen,35840,35840,35840,1
Magic Cube,18763.5,18763.5,37527,2
Canuck Play Inc,35773,35773,35773,1
Tall Story Games Ltd,17895,17895,35790,2
Weakfish Studio Publishing,35807,35807,35807,1
Play Spirit Limited,15306,12670.5,61224,4
Aleksey Skvortsov,35694,35694,35694,1
Carlburton Llc,35780,35780,35780,1
Brownmonster Limited,60911.5,60911.5,121823,2
Icebird Studios,35631,35631,35631,1
EtherGaming,36212,36212,36212,1
Cyber Rhino Studios,18425,18425,36850,2
Interactive Fate,35532,35532,35532,1
Deep Voodoo Gaming,35498,35498,35498,1
Sesisoft,35463,35463,35463,1
Tigari-works-,35459,35459,35459,1
After Death Team,35456,35456,35456,1
Viewpoint Games,35432,35432,35432,1
Rel.Pink,47356.5,47356.5,94713,2
Lazy Kitty,35392,35392,35392,1
HeroLabs,40876,33207,245256,6
Cherry Co. Studios,35371,35371,35371,1
DMT,35359,35359,35359,1
GameCask,35341,35341,35341,1
Sara Lisa Vogl,35331,35331,35331,1
VR Nerds,57468,57468,114936,2
Volcanic Games,53879.5,53879.5,107759,2
Groovy Milk,35304,35304,35304,1
Alda Games,153893.69484579665,115250.58453738998,923362.16907478,6
Fleon Games,40261.5,28404,161046,4
Boss Baddie,35222,35222,35222,1
La Poule Noire,35125,35125,35125,1
PleasingFungus Games,87302,87302,174604,2
Owl Studio,35122,35122,35122,1
Hammerhead VR,17533,17533,35066,2
Cyperk Software,35039,35039,35039,1
Frymore,23189,23189,46378,2
Steve Jarman,21372,21372,42744,2
Nicholas Rizzo,57455.857142857145,5755,402191,7
Lanstrash,20640.5,20640.5,41281,2
Whalestork Interactive,35046,35046,35046,1
Firmiana Game,34988,34988,34988,1
Themis digital entertainment Co.,19935,19935,39870,2
SWAIN GAMES,32439,32439,32439,1
Alternative Software Ltd.,34932,34932,34932,1
Multicell Games,34937,34937,34937,1
ST Hot Dog King,34671.666666666664,35864,104015,3
深圳市创源互娱科技有限公司,34931,34931,34931,1
Semaphore,95900.5,95900.5,191801,2
Radon Labs,34888,34888,34888,1
Bretwalda Games,34893,34893,34893,1
VoyagerVR,17879.5,17879.5,35759,2
东方祈华梦制作组,67105,67105,134210,2
WinterCell Studios,35752,35752,35752,1
JaxyCreate,34830,34830,34830,1
"Kure Software Koubou Co.,Ltd.",34850,34850,34850,1
RogueCode (PTY) LTD,34808,34808,34808,1
Foursaken Media,20032,20032,40064,2
Dejobaan Games,12837.333333333334,2001,38512,3
700 Games Studio,36202,36202,36202,1
Bubblebird Studio,35063,35063,35063,1
SHN Games,34779,34779,34779,1
BloodBrothers Studios,34777,34777,34777,1
"Barunson Co., Ltd",34766,34766,34766,1
Gemini Stars Games,34690,34690,34690,1
Another Yeti,20699,20699,41398,2
LoopyMood,34816,34816,34816,1
Raum Studio,17342,17342,34684,2
Webzen,34712,34712,34712,1
Seaven Studio,34613,34613,34613,1
9FingerGames,34446,34446,34446,1
Bluelight Construct,34503,34503,34503,1
ThreatGEN,34515,34515,34515,1
DEVCUBE STUDIO,34470,34470,34470,1
"Scheme Street, LLC",34412,34412,34412,1
JellyTeam,34452,34452,34452,1
Norb Software Development LLC,28820.333333333332,28569,86461,3
Adventurer's Tavern,34439,34439,34439,1
Tender Claws,137190.25,31353,548761,4
SoSorrySoft,34325,34325,34325,1
One Man Media,17188,17188,34376,2
Paracytik Entertainment,34412,34412,34412,1
Kittehface Software,19875.666666666668,15222,59627,3
RadioFree.Net,34391,34391,34391,1
DevilishGames,12212.142857142857,6648,85485,7
Nunchuck Games,34376,34376,34376,1
Fazan,48653,48653,97306,2
Lo-Fi People,34330,34330,34330,1
Cytec BG Ltd.,34585,34585,34585,1
Hinkfoot Studios,34327,34327,34327,1
